danceability,energy,key,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,Genre
0.748000,0.916000,6,-2.634000,0.058300,0.102000,0.000000,0.065300,0.518000,122.036000,1
0.726000,0.815000,11,-4.969000,0.037300,0.072400,0.004210,0.357000,0.693000,99.972000,1
0.675000,0.931000,1,-3.432000,0.074200,0.079400,0.000023,0.110000,0.613000,124.008000,1
0.718000,0.930000,7,-3.778000,0.102000,0.028700,0.000009,0.204000,0.277000,121.956000,1
0.650000,0.833000,1,-4.672000,0.035900,0.080300,0.000000,0.083300,0.725000,123.976000,1
0.675000,0.919000,8,-5.385000,0.127000,0.079900,0.000000,0.143000,0.585000,124.982000,1
0.449000,0.856000,5,-4.788000,0.062300,0.187000,0.000000,0.176000,0.152000,112.648000,1
0.542000,0.903000,4,-2.419000,0.043400,0.033500,0.000005,0.111000,0.367000,127.936000,1
0.594000,0.935000,8,-3.562000,0.056500,0.024900,0.000004,0.637000,0.366000,127.015000,1
0.642000,0.818000,2,-4.552000,0.032000,0.056700,0.000000,0.091900,0.590000,124.957000,1
0.679000,0.923000,6,-6.500000,0.181000,0.146000,0.000005,0.124000,0.752000,121.984000,1
0.437000,0.774000,8,-4.918000,0.055400,0.148000,0.000000,0.133000,0.329000,123.125000,1
0.744000,0.726000,1,-4.675000,0.046300,0.039900,0.000000,0.374000,0.687000,121.985000,1
0.572000,0.915000,5,-4.451000,0.062500,0.011100,0.000000,0.339000,0.678000,123.919000,1
0.690000,0.780000,5,-4.446000,0.059400,0.007330,0.001830,0.072900,0.238000,126.070000,1
0.805000,0.835000,0,-4.603000,0.089600,0.130000,0.000005,0.365000,0.722000,125.028000,1
0.694000,0.901000,1,-4.322000,0.094800,0.070200,0.000000,0.427000,0.368000,118.051000,1
0.678000,0.747000,10,-5.289000,0.165000,0.039500,0.000000,0.174000,0.516000,120.002000,1
0.746000,0.557000,1,-6.722000,0.054200,0.103000,0.003600,0.138000,0.324000,111.961000,1
0.467000,0.821000,7,-5.466000,0.093400,0.007910,0.000441,0.131000,0.232000,122.676000,1
0.572000,0.934000,6,-5.053000,0.044600,0.002920,0.019800,0.105000,0.204000,125.948000,1
0.708000,0.913000,9,-4.329000,0.034800,0.089000,0.081000,0.113000,0.707000,135.016000,1
0.684000,0.818000,4,-4.477000,0.128000,0.046900,0.000003,0.119000,0.336000,123.938000,1
0.732000,0.850000,1,-5.999000,0.044400,0.114000,0.000002,0.038800,0.372000,124.024000,1
0.620000,0.889000,11,-3.785000,0.035200,0.016300,0.000019,0.395000,0.422000,110.018000,1
0.675000,0.760000,11,-7.037000,0.043400,0.104000,0.000000,0.330000,0.468000,124.933000,1
0.682000,0.851000,1,-7.117000,0.036300,0.014600,0.000834,0.028900,0.348000,126.000000,1
0.663000,0.905000,1,-3.781000,0.051100,0.032500,0.000000,0.333000,0.397000,125.996000,1
